U,V
3252,5113
3205,4934
3167,4750
3139,4610
3121,4609
3113,4380
3115,4280
3127,3499
3147,4210
3175,4295
3210,4309
3251,4376
3295,4380
3343,4568
3392,4610
3441,4750
3487,4916
3530,5035
3568,5227
3600,5336
3624,5436
3639,5536
3644,5602
3639,5669
3623,5704
3596,5704
3557,5681
3508,5647
3447,5547
3378,5450
3299,5296
3212,5113
3119,4908
3021,4703
2919,4655
2816,4346
2713,4227
2611,3983
2512,3894
2419,3729
2332,3560
2253,3424
2183,3244
2123,3110
2075,2913
2038,2785
2013,2662
2001,2534
2001,2425
2013,2306
2036,2206
2070,2177
2113,2073
2164,1954
2223,1929
2287,1852
2355,1824
2426,1794
2497,1798
2567,1846
2635,1891
2698,2023
2756,1894
2808,2098
2852,2590
2887,2787
2912,3030
2928,3176
2934,3340
2930,3447
2917,3530
2894,3584
2862,3593
2823,3598
2777,3570
2726,3553
2671,3504
2614,3440
2555,3355
2496,3290
2440,3191
2387,3112
2338,2991
2295,2903
2259,2810
2232,2673
2213,2576
2203,2483
2202,2386
2212,2370
2230,2281
2258,2177
2295,2105
2339,2097
2390,2051
2447,2007
2509,2027
2574,2057
2640,2097
2707,2203
2772,2327
2835,2504
2894,2689
2948,2890
2995,3167
3034,3413
3065,3615
3087,3781
3100,3907
3103,4019
3096,4023
3080,4138
3054,4157
3021,3353
2980,4114
2932,4062
2880,4004
2823,3826
2764,3836
2704,3743
2645,3656
2587,3544
2534,3482
2485,3363
2442,3228
2407,3143
2381,3023
2363,2937
2356,2850
2359,2732
2373,2659
2397,2588
2431,2529
2475,2482
2528,2458
2589,2450
2656,2465
2729,2511
2807,2580
2887,2679
2967,2896
3048,3096
3126,3392
3200,3691
3269,3961
3332,4275
3387,4471
3432,4769
3468,4908
3494,5049
3508,5189
3512,5276
3504,5346
3486,5357
3457,5377
3419,5326
3373,5266
3319,5189
3259,5049
3195,4908
3128,4750
3059,4758
2991,4564
2926,4293
2864,4260
2807,4147
2758,3895
2716,3861
2685,3733
2663,3622
2653,3518
2654,3465
2668,3366
2694,3287
2731,3244
2781,3223
2841,3211
2911,3230
2989,3293
3076,3439
3168,3634
3266,3869
3366,4124
3468,4374
3570,4727
3669,5022
3766,5327
3857,5670
3942,5983
4020,6167
4089,6319
